# Coding: utf-8;;;;;;;;;;
# File format version: 2;;;;;;;;;;
# Title: CAMS Radiation Service v4.0 all-sky irradiation (derived from satellite data).;;;;;;;;;;
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.;;;;;;;;;;
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,;;;;;;;;;;
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.;;;;;;;;;;
# The research leading to these results has received funding from the European Union within the Copernicus programme.;;;;;;;;;;
# Provider: MINES ParisTech (France);;;;;;;;;;
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service;;;;;;;;;;
# Date begin (ISO 8601): 2019-01-01T00:00:00.0;;;;;;;;;;
# Date end (ISO 8601): 2020-01-01T00:00:00.0;;;;;;;;;;
# Latitude (positive North, ISO 19115): 54.0960;;;;;;;;;;
# Longitude (positive East, ISO 19115): 13.3830;;;;;;;;;;
# Altitude (m): 10.00;;;;;;;;;;
# Time reference: Universal time (UT);;;;;;;;;;
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11);;;;;;;;;;
# CF Standard Names registry of ObservablePropertyValue;;;;;;;;;;
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html;;;;;;;;;;
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s;;;;;;;;;;
# noValue: nan;;;;;;;;;;
# File generated on: 2022-02-10;;;;;;;;;;
# Columns:;;;;;;;;;;
# 1. Observation period (ISO 8601);;;;;;;;;;
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2);;;;;;;;;;
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2);;;;;;;;;;
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2);;;;;;;;;;
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2);;;;;;;;;;
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2);;;;;;;;;;
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2);;;;;;;;;;
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2);;;;;;;;;;
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2);;;;;;;;;;
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2);;;;;;;;;;
#11. Reliability. Proportion of reliable data in the summarization (0-1);;;;;;;;;;
Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2019-01-01T00:00:00.0/2019-01-01T01:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T01:00:00.0/2019-01-01T02:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T02:00:00.0/2019-01-01T03:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T03:00:00.0/2019-01-01T04:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T04:00:00.0/2019-01-01T05:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T05:00:00.0/2019-01-01T06:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T06:00:00.0/2019-01-01T07:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T07:00:00.0/2019-01-01T08:00:00.0;15.2138;4.4962;0.2417;4.2545;5.7762;3.0396;0;3.0396;0;1
2019-01-01T08:00:00.0/2019-01-01T09:00:00.0;134.9725;60.1324;17.8224;42.31;170.0203;45.4388;3.4172;42.0216;29.8738;1
2019-01-01T09:00:00.0/2019-01-01T10:00:00.0;241.1852;132.2628;56.543;75.7198;326.4559;48.652;0;48.652;0;1
2019-01-01T10:00:00.0/2019-01-01T11:00:00.0;300.6192;178.8838;86.8902;91.9935;406.5019;97.0554;2.9427;94.1127;13.3849;1
2019-01-01T11:00:00.0/2019-01-01T12:00:00.0;309.2273;186.0987;90.6823;95.4164;412.6976;112.8629;6.5227;106.3402;29.7329;1
2019-01-01T12:00:00.0/2019-01-01T13:00:00.0;266.4247;152.2978;67.6054;84.6924;355.3104;83.646;1.7254;81.9205;8.374;1
2019-01-01T13:00:00.0/2019-01-01T14:00:00.0;175.1287;85.6614;28.5078;57.1537;219.1125;47.1717;0;47.1717;0;1
2019-01-01T14:00:00.0/2019-01-01T15:00:00.0;45.7276;15.9297;2.0288;13.9009;31.9663;12.0487;0;12.0487;0;1
2019-01-01T15:00:00.0/2019-01-01T16:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T16:00:00.0/2019-01-01T17:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T17:00:00.0/2019-01-01T18:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T18:00:00.0/2019-01-01T19:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T19:00:00.0/2019-01-01T20:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T20:00:00.0/2019-01-01T21:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T21:00:00.0/2019-01-01T22:00:00.0;0;0;0;0;0;0;0;0;0;1
2019-01-01T22:00:00.0/2019-01-01T23:00:00.0;0;0;0;0;0;0;0;0;0;1
