# Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2;;;;;;;;;;
# Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center;;;;;;;;;
# More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2;;;;;;;;;
# Site latitude (positive means North);54.096;;;;;;;;;
# Site longitude (positive means East);13.383;;;;;;;;;
# Site altitude (m);19;;;;;;;;;
# Date beginning;01.01.2019;;;;;;;;;
# Date end;31.12.2019;;;;;;;;;
# Time reference (hour);UT;;;;;;;;;
# Summarization (period of integration);Hour (h);;;;;;;;;
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization;;;;;;;;;
# Columns:;;;;;;;;;;
# Temperature (K);Temperature at 2 m above ground;;;;;;;;;
# Relative humidity (%);Relative humidity at 2 m above ground;;;;;;;;;
# Pressure (hPa);Pressure at ground level;;;;;;;;;
# Wind speed (m/s);Wind speed at 10 m above ground;;;;;;;;;
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...);;;;;;;;;
# Rainfall (kg/m2);Rainfall (= rain depth in mm);;;;;;;;;
# Snowfall (kg/m2);Snowfall;;;;;;;;;
# Snow depth (m);Snow depth;;;;;;;;;
# Short-wave irradiation (Wh/m2);Surface incoming shortwave irradiation (broadband);;;;;;;;;
# MERRA-2 meteorological data;;;;;;;;;;
Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
01.01.2019;01:00;279.59;89.89;1018.25;10.45;257.7;0.064372;0;0;0
01.01.2019;02:00;279.39;90.32;1017.01;10.77;256.06;0.040643;0;0;0
01.01.2019;03:00;279.39;90.51;1015.29;11.19;252.36;0.047076;0;0;0
01.01.2019;04:00;279.52;90.47;1013.43;11.99;249.64;0.099163;0;0;0
01.01.2019;05:00;279.66;90.16;1011.73;12.83;251.05;0.17383;0;0;0
01.01.2019;06:00;279.82;90.13;1010.22;13.19;255.04;0.372187;0;0;0
01.01.2019;07:00;280.01;90.47;1009.58;12.86;265.07;0.468462;0;0;0
01.01.2019;08:00;280.14;89.17;1009.5;12.3;277.83;0.203133;0;0;0.8006
01.01.2019;09:00;279.67;82.86;1009.25;12.76;284.53;0.06353;0;0;34.9956
01.01.2019;10:00;279.3;77.58;1008.66;13.29;281.14;0.01259;0;0;93.4322
01.01.2019;11:00;279.62;74.36;1007.72;14.27;280.43;0.015718;0;0;116.5194
01.01.2019;12:00;279.8;71.91;1006.96;15.02;284.1;0.020866;0;0;112.1805
01.01.2019;13:00;279.79;69.2;1006.43;15.55;287.87;0.019313;0;0;111.0367
01.01.2019;14:00;279.51;66.75;1006.03;15.74;290.35;0.015343;0;0;54.7741
01.01.2019;15:00;278.9;64.5;1005.75;15.61;292.01;0.00916;0;0;9.4045
01.01.2019;16:00;278.35;64.26;1005.34;15.07;292.84;0.006577;0;0;0
